Function,Calls,Primitive Calls,Total Time (s),Cumulative Time (s),Time per Call (total),Time per Call (cumulative),Filename:Line
AppendingTiffWriter,1,1,0.000004,0.000004,0.000004,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:1993
__init__,3,3,0.000004,0.000004,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:383
__init__,2,2,0.000003,0.000004,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1497
<built-in method fromkeys>,12,12,0.000004,0.000004,0.000000,0.000000,~:0
<built-in method _thread.allocate_lock>,19,19,0.000004,0.000004,0.000000,0.000000,~:0
__new__,12,12,0.000004,0.000004,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1129
i32be,12,12,0.000002,0.000004,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/_binary.py:94
size,40,40,0.000004,0.000004,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:579
<built-in method sys.intern>,17,17,0.000004,0.000004,0.000000,0.000000,~:0
<built-in method _weakref._remove_dead_weakref>,19,19,0.000004,0.000004,0.000000,0.000000,~:0
_path_importer_cache,21,21,0.000004,0.000004,0.000000,0.000000,<frozen importlib._bootstrap_external>:1469
GifImageFile,1,1,0.000003,0.000004,0.000003,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GifImagePlugin.py:78
<method 'tell' of '_io.BufferedReader' objects>,4,4,0.000003,0.000003,0.000001,0.000001,~:0
<built-in method _imp._fix_co_filename>,18,18,0.000003,0.000003,0.000000,0.000000,~:0
<method 'replace' of 'str' objects>,19,19,0.000003,0.000003,0.000000,0.000000,~:0
_accept,4,4,0.000003,0.000003,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/BmpImagePlugin.py:52
_acquireLock,3,3,0.000002,0.000003,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:234
reset,8,8,0.000003,0.000003,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:634
<method 'tell' of '_io.BytesIO' objects>,26,26,0.000003,0.000003,0.000000,0.000000,~:0
_push_cm_exit,1,1,0.000001,0.000003,0.000001,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:543
isstring,10,10,0.000002,0.000003,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:570
_combine_flags,22,22,0.000003,0.000003,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:31
__init__,2,2,0.000003,0.000003,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:19
<genexpr>,17,17,0.000003,0.000003,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/collections/__init__.py:429
_get_charset_prefix,4,4,0.000002,0.000003,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:467
<method 'setdefault' of 'dict' objects>,13,13,0.000003,0.000003,0.000000,0.000000,~:0
<module>,1,1,0.000003,0.000003,0.000003,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegPresets.py:1
register_save,7,7,0.000002,0.000003,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3679
descr_to_dtype,1,1,0.000003,0.000003,0.000003,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:303
<method 'remove' of 'list' objects>,19,19,0.000003,0.000003,0.000000,0.000000,~:0
JpegImageFile,1,1,0.000003,0.000003,0.000003,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:335
<method 'match' of 're.Pattern' objects>,2,2,0.000003,0.000003,0.000001,0.000001,~:0
__subclasshook__,1,1,0.000001,0.000003,0.000001,0.000003,<frozen os>:1116
__init__,4,4,0.000003,0.000003,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3905
__init__,4,4,0.000003,0.000003,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:549
<method 'reverse' of 'list' objects>,10,10,0.000003,0.000003,0.000000,0.000000,~:0
_accept,8,8,0.000003,0.000003,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:326
ImageFileDirectory_v1,1,1,0.000003,0.000003,0.000003,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:1057
<method 'lower' of 'str' objects>,16,16,0.000002,0.000002,0.000000,0.000000,~:0
<method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects>,4,4,0.000002,0.000002,0.000001,0.000001,~:0
register_mime,7,7,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3664
_accept,4,4,0.000002,0.000002,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GifImagePlugin.py:69
_generic_init_subclass,1,1,0.000002,0.000002,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1123
__init__,19,19,0.000002,0.000002,0.000000,0.000000,<frozen importlib._bootstrap>:412
<genexpr>,3,3,0.000001,0.000002,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1017
__contains__,12,12,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:670
fix_flags,5,5,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:953
iglob,1,1,0.000002,0.000002,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:31
<method 'translate' of 'str' objects>,4,4,0.000002,0.000002,0.000001,0.000001,~:0
<method 'ravel' of 'numpy.ndarray' objects>,9,9,0.000002,0.000002,0.000000,0.000000,~:0
<method '__contains__' of 'frozenset' objects>,17,17,0.000002,0.000002,0.000000,0.000000,~:0
exec_module,1,1,0.000001,0.000002,0.000001,0.000002,<frozen importlib._bootstrap_external>:1295
_accept,4,4,0.000002,0.000002,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:290
__exit__,1,1,0.000001,0.000002,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:456
PngStream,1,1,0.000002,0.000002,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:379
legacy_api,24,24,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:625
_releaseLock,3,3,0.000001,0.000002,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:243
_swap_direction,4,4,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:101
_tilesort,4,4,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:93
PngImageFile,1,1,0.000002,0.000002,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:750
TiffImageFile,1,1,0.000002,0.000002,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:1156
_find_data_repr_,3,3,0.000002,0.000002,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:986
_maybe_view_as_subclass,5,5,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:24
__init__,19,19,0.000002,0.000002,0.000000,0.000000,<frozen importlib._bootstrap>:158
_deduplicate,1,1,0.000001,0.000002,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:317
_fft_dispatcher,8,8,0.000002,0.000002,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:109
<built-in method _sre.unicode_iscased>,12,12,0.000002,0.000002,0.000000,0.000000,~:0
__init__,18,18,0.000002,0.000002,0.000000,0.000000,<frozen importlib._bootstrap_external>:1153
<genexpr>,3,3,0.000001,0.000002,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:108
<method 'clear' of 'dict' objects>,12,12,0.000002,0.000002,0.000000,0.000000,~:0
register_save_all,3,3,0.000001,0.000002,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3692
has_location,19,19,0.000002,0.000002,0.000000,0.000000,<frozen importlib._bootstrap>:653
iTXt,1,1,0.000002,0.000002,0.000002,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:250
get_filename,18,18,0.000002,0.000002,0.000000,0.000000,<frozen importlib._bootstrap_external>:1178
_mean_dispatcher,6,6,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3730
<method 'splitlines' of 'str' objects>,5,5,0.000001,0.000001,0.000000,0.000000,~:0
<method 'pixel_access' of 'ImagingCore' objects>,4,4,0.000001,0.000001,0.000000,0.000000,~:0
ImageFile,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:110
<genexpr>,10,10,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1273
_push_exit_callback,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:548
_fftn_dispatcher,4,4,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:745
_check_methods,1,1,0.000001,0.000001,0.000001,0.000001,<frozen _collections_abc>:104
_parse_flags,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:893
__get__,2,2,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:202
ChunkStream,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:156
__exit__,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:359
_nonzero_dispatcher,2,2,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2014
result_type,16,16,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/multiarray.py:690
_get_sep,3,3,0.000001,0.000001,0.000000,0.000000,<frozen posixpath>:41
create_module,18,18,0.000001,0.000001,0.000000,0.000000,<frozen importlib._bootstrap_external>:986
__init__,5,5,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:77
<genexpr>,8,8,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:2815
shape,3,3,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2118
<built-in method numpy._core._multiarray_umath._make_extobj>,1,1,0.000001,0.000001,0.000001,0.000001,~:0
<method 'split' of 'str' objects>,2,2,0.000001,0.000001,0.000001,0.000001,~:0
size,6,6,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3566
Parser,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:398
__init__,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:481
_real_dispatcher,2,2,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_type_check_impl.py:80
_place_dispatcher,9,9,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2043
append,2,2,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1323
PpmPlainDecoder,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PpmImagePlugin.py:163
<genexpr>,6,6,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:345
<method 'setter' of 'property' objects>,3,3,0.000001,0.000001,0.000000,0.000000,~:0
getEffectiveLevel,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1776
StubHandler,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:359
<method 'pop' of 'set' objects>,6,6,0.000001,0.000001,0.000000,0.000000,~:0
<method 'acquire' of '_thread.RLock' objects>,3,3,0.000001,0.000001,0.000000,0.000000,~:0
_all_dispatcher,9,9,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2584
_get_iscased,9,9,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:428
_checkLevel,2,2,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:208
PyDecoder,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:722
<lambda>,4,4,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:263
<built-in method builtins.sorted>,1,1,0.000001,0.000001,0.000001,0.000001,~:0
<method 'reset' of '_contextvars.ContextVar' objects>,1,1,0.000001,0.000001,0.000001,0.000001,~:0
_ishidden,3,3,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:230
<method 'cleanup' of 'ImagingDecoder' objects>,4,4,0.000001,0.000001,0.000000,0.000000,~:0
_argcheck,3,3,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:985
<built-in method builtins.id>,3,3,0.000001,0.000001,0.000000,0.000000,~:0
<method 'get' of '_contextvars.ContextVar' objects>,6,6,0.000001,0.000001,0.000000,0.000000,~:0
_atleast_1d_dispatcher,9,9,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/shape_base.py:17
<genexpr>,3,3,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:670
_Tile,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:98
<built-in method _sre.unicode_tolower>,5,5,0.000001,0.000001,0.000000,0.000000,~:0
<method 'translate' of 'bytearray' objects>,2,2,0.000001,0.000001,0.000000,0.000000,~:0
<method 'copy' of 'dict' objects>,3,3,0.000001,0.000001,0.000000,0.000000,~:0
<method 'discard' of 'set' objects>,3,3,0.000001,0.000001,0.000000,0.000000,~:0
empty_like,8,8,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/multiarray.py:107
<method 'partition' of 'str' objects>,2,2,0.000001,0.000001,0.000000,0.000000,~:0
_namedtuple_mro_entries,4,4,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:2875
PpmImageFile,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PpmImagePlugin.py:57
<built-in method builtins.vars>,6,6,0.000001,0.000001,0.000000,0.000000,~:0
__init__,8,8,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1185
__init__,8,8,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:251
PyCodec,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:644
PyEncoder,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:776
PngInfo,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:277
<genexpr>,3,3,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1018
<method '__exit__' of 'numpy.nditer' objects>,3,3,0.000001,0.000001,0.000000,0.000000,~:0
_take_dispatcher,4,4,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:105
_size_dispatcher,6,6,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3562
_Frame,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GifImagePlugin.py:643
numerator,4,4,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:382
Iterator,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageSequence.py:24
_register_loader,5,5,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:475
decorator,5,5,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:488
<method 'release' of '_thread.RLock' objects>,3,3,0.000001,0.000001,0.000000,0.000000,~:0
<genexpr>,3,3,0.000000,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1021
<genexpr>,3,3,0.000000,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1030
<genexpr>,2,2,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1999
_std_dispatcher,4,4,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3864
GimpPaletteFile,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GimpPaletteFile.py:24
_register_writer,5,5,0.000001,0.000001,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:487
_parse_args,3,3,0.000001,0.000001,0.000000,0.000000,<string>:2
<built-in method sys.exc_info>,1,1,0.000001,0.000001,0.000001,0.000001,~:0
PaletteFile,1,1,0.000001,0.000001,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PaletteFile.py:22
_create_exit_wrapper,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:471
register_decoder,3,3,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:3738
StubImageFile,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:368
denominator,4,4,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:386
GradientFile,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GimpGradientFile.py:67
<method 'decode' of 'bytes' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
cast,4,4,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:2182
im,4,4,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:567
load_end,4,4,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:331
SupportsGetMesh,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageOps.py:417
_RewindState,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:373
PpmDecoder,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PpmImagePlugin.py:300
<method '__enter__' of '_io._IOBase' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
<method 'fileno' of '_io.BufferedReader' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
__init__,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/functools.py:963
copyto,3,3,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/multiarray.py:1098
__init__,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:355
_Frame,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:1148
<built-in method builtins.callable>,2,2,0.000000,0.000000,0.000000,0.000000,~:0
value,2,2,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:1292
_shape_dispatcher,3,3,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2114
<built-in method sys.audit>,2,2,0.000000,0.000000,0.000000,0.000000,~:0
normcase,1,1,0.000000,0.000000,0.000000,0.000000,<frozen posixpath>:52
__init__,2,2,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:811
DibImageFile,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/BmpImagePlugin.py:397
BmpRleDecoder,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/BmpImagePlugin.py:321
dot,2,2,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/multiarray.py:761
_check_version,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:198
<built-in method _imp.exec_dynamic>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
_any_dispatcher,3,3,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2472
_idat,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:1124
<method '__exit__' of 'posix.ScandirIterator' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
abstractmethod,1,1,0.000000,0.000000,0.000000,0.000000,<frozen abc>:7
_reshape_dispatcher,2,2,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:206
__init__,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:430
<lambda>,2,2,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:467
disable,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/logging/__init__.py:1369
<module>,1,1,0.000000,0.000000,0.000000,0.000000,<string>:1
PyCodecState,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:633
GimpGradientFile,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/GimpGradientFile.py:115
_fdat,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:1135
<method 'close' of 'generator' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
<method 'keys' of 'dict' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
<method 'lstrip' of 'str' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
_broadcast_arrays_dispatcher,3,3,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:477
<method 'append' of 'collections.deque' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
_none_or_positive_arg,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:952
__set_name__,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/functools.py:968
_max_dispatcher,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3047
__enter__,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:357
_join,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:214
<method 'pop' of 'collections.deque' objects>,1,1,0.000000,0.000000,0.000000,0.000000,~:0
__init__,1,1,0.000000,0.000000,0.000000,0.000000,<frozen importlib._bootstrap_external>:1276
<lambda>,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/_distutils_hack/__init__.py:108
__enter__,1,1,0.000000,0.000000,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/contextlib.py:564
