Function,Calls,Primitive Calls,Total Time (s),Cumulative Time (s),Time per Call (total),Time per Call (cumulative),Filename:Line
_extend_mode_to_code,592,592,0.000165,0.000165,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/ndimage/_ni_support.py:37
cache_from_source,36,36,0.000049,0.000161,0.000001,0.000004,<frozen importlib._bootstrap_external>:482
<method 'sort' of 'numpy.ndarray' objects>,48,48,0.000153,0.000153,0.000003,0.000003,~:0
__getitem__,8,8,0.000013,0.000151,0.000002,0.000019,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:659
__set_name__,8,8,0.000101,0.000137,0.000013,0.000017,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:254
<lambda>,1,1,0.000008,0.000136,0.000008,0.000136,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:455
acquire,19,19,0.000040,0.000129,0.000002,0.000007,<frozen importlib._bootstrap>:304
<built-in method builtins.max>,89,89,0.000067,0.000129,0.000001,0.000001,~:0
__init__,1,1,0.000006,0.000128,0.000006,0.000128,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:961
fillFormat,1,1,0.000044,0.000122,0.000044,0.000122,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:987
cached,37,37,0.000009,0.000119,0.000000,0.000003,<frozen importlib._bootstrap>:632
__new__,5,5,0.000005,0.000117,0.000001,0.000023,<frozen abc>:105
normalize_axis_index,592,592,0.000117,0.000117,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/_lib/_util.py:1050
<built-in method builtins.eval>,4,4,0.000115,0.000115,0.000029,0.000029,~:0
_path_join,114,114,0.000066,0.000115,0.000001,0.000001,<frozen importlib._bootstrap_external>:126
__getitem__,469,469,0.000078,0.000114,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:168
_path_isfile,19,19,0.000008,0.000112,0.000000,0.000006,<frozen importlib._bootstrap_external>:159
<method 'flatten' of 'numpy.ndarray' objects>,48,48,0.000112,0.000112,0.000002,0.000002,~:0
_get_cached,19,19,0.000014,0.000110,0.000001,0.000006,<frozen importlib._bootstrap_external>:611
inner,6,6,0.000025,0.000110,0.000004,0.000018,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:392
_wrapreduction_any_all,12,12,0.000021,0.000105,0.000002,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:89
_path_is_mode_type,19,19,0.000007,0.000104,0.000000,0.000005,<frozen importlib._bootstrap_external>:150
all,9,9,0.000012,0.000102,0.000001,0.000011,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2589
_kind_name,296,296,0.000100,0.000100,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_dtype.py:24
__next,1111,1111,0.000099,0.000099,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:240
_compile_info,5,5,0.000045,0.000098,0.000009,0.000020,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:511
take,4,4,0.000009,0.000097,0.000002,0.000024,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:109
__instancecheck__,33,33,0.000011,0.000092,0.000000,0.000003,<frozen abc>:117
ImageFileDirectory_v2,1,1,0.000055,0.000090,0.000055,0.000090,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:519
broadcast_arrays,3,3,0.000014,0.000086,0.000005,0.000029,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:481
as_strided,2,2,0.000072,0.000085,0.000036,0.000042,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:37
<module>,1,1,0.000017,0.000084,0.000017,0.000084,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageColor.py:1
_formatArray,3,3,0.000010,0.000081,0.000003,0.000027,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:828
<built-in method _abc._abc_instancecheck>,33,33,0.000041,0.000081,0.000001,0.000002,~:0
getwidth,91,24,0.000056,0.000081,0.000001,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:178
<method 'items' of 'dict' objects>,256,256,0.000077,0.000077,0.000000,0.000000,~:0
_conv_type_shape,4,4,0.000054,0.000076,0.000014,0.000019,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:250
__setitem__,18,18,0.000036,0.000075,0.000002,0.000004,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:390
_optimize_charset,32,32,0.000044,0.000074,0.000001,0.000002,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py:243
isscalar,12,12,0.000025,0.000073,0.000002,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numeric.py:1927
recurser,8,3,0.000025,0.000071,0.000003,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:837
DQT,4,4,0.000065,0.000071,0.000016,0.000018,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:232
path_stats,18,18,0.000006,0.000069,0.000000,0.000004,<frozen importlib._bootstrap_external>:1202
